"場所ID","場所名稱","場所縣市","場所區域","場所地址","場所分類","場所類型","場所描述","AEDID","AED放置地點","AED地點描述","地點LAT","地點LNG","周一至周五起","周一至周五迄","周六起","周六迄","周日起","周日迄","開放使用時間備註","開放時間緊急連絡電話"
"19172","臺東縣長濱鄉衛生所","臺東縣","長濱鄉","臺東縣長濱鄉長濱村5鄰15號","其他","其他場所","","281","一樓候診區","放置於衛生所一樓候診區，位置明顯。","23.318852","121.453891","08:00:00","17:00:00","","","","","逢例假日及國定假日關閉。","089-831022"
"25360","漢翔航空工業股份有限公司 岡山廠","高雄市","岡山區","高雄市岡山區崗德路1號","其他","其他場所","本公司目前之商品(服務)為國防、民用航空以及工業技術服務三大業務區塊。
國防業務包含國內軍用飛機之製造、維修、性能提升、機隊商維、軍工廠委託民間經營案等，以及軍用引擎業務。
民用航空業務則包含民用","408","高雄市岡山區崗德路一號","漢翔航空工業股份有限公司-岡山廠-鑄造門口","22.811184142357","120.31995731277","","","","","","","本公司目前之商品(服務)為國防、民用航空以及工業技術服務三大業務區塊。
國防業務包含國內軍用飛機之製造、維修、性能提升、機隊商維、軍工廠委託民間經營案等，以及軍用引擎業務。
民用航空業務則包含民用","07-6285600#5266"
"1226","日月潭纜車股份有限公司","南投縣","魚池鄉","南投縣魚池鄉日月村中正路102號","其他","其他場所","","422","日月潭纜車站","服務台旁","23.852278459584","120.93513565404","10:30:00","16:00:00","10:00:00","16:30:00","10:00:00","16:30:00","遇纜車保養日園區暫停開放 (保養日請上官網查詢)","0492850666"
"7814","日月潭國家風景區伊達邵遊客中心","南投縣","魚池鄉","南投縣魚池鄉日月村文化街127號","觀光旅遊地區","國家級風景區","","428","伊達邵遊客中心急診醫療站救護車","伊達邵遊客中心急診醫療站救護車","23.84867","120.929881","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","於颱風警報期間經南投縣政府宣布停止上班上課情形者除外","049-2850115"
"490","國立臺東專科學校","臺東縣","臺東市","臺東縣臺東市正氣北路889號","學校、大型集會場所","大專院校","","433","健康中心","保健室門口","22.757392","121.126084","08:00:00","17:30:00","","","","","","089-226389"
"16117","臺南市新營區衛生所","臺南市","新營區","臺南市新營區三民路72號","其他","其他場所","","487","一樓入口處","台南市新營區衛生所","23.307466","120.317153","11:39:00","11:39:00","","","","","","06-6355696"
"15596","桃園市復興區衛生所","桃園市","復興區","桃園市復興區澤仁里中正路25號","其他","其他場所","","556","桃園市復興區衛生所","本所進大門左側牆面","24.814848","121.350988","08:00:00","17:00:00","","","","","","03-3822325"
"3803","文藻外語大學","高雄市","三民區","高雄市三民區民族一路900號","學校、大型集會場所","大專院校","","578","正氣樓","正氣樓穿堂靠近樓梯處","22.670349","120.31914","08:00:00","17:00:00","","","","","","07-3429958"
"19535","華儲股份有限公司","桃園市","大園區","桃園市大園區航勤北路10-1號","其他","其他場所","華儲（股）公司聯管中心通道處","582","警備隊","警備隊","25.089699","121.245364","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","","03-3939-800分機2204"
"102","神木谷假期大飯店","臺中市","和平區","臺中市和平區博愛里東關路一段溫泉巷7號","旅宿場所","飯店","","587","神木谷餐廳","餐廳自動門旁","24.204311","121.009436","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","","04-25951511"
"2233","華通電腦股份有限公司大園廠","桃園市","大園區","桃園市大園區中山北路275號","其他","其他場所","","591","醫務室","一樓辦公室醫務室置物櫃上","25.075077","121.187425","08:00:00","00:00:00","08:00:00","00:00:00","08:00:00","00:00:00","","03-3863000#5091"
"1299","財團法人國家衛生研究院(行政大樓)","苗栗縣","竹南鎮","苗栗縣竹南鎮科研路35號","其他","其他場所","","603","行政大樓一樓警衛室旁","財團法人國家衛生研究院行政大樓一樓警衛室旁","24.70524","120.91392","08:30:00","17:00:00","","","","","","星期一至星期五08:30~1700"
"5268","英屬維京群島商太古可口可樂股份有限公司台灣分公司","桃園市","桃園區","桃園市桃園區興邦路46號","其他","其他場所","","620","1樓大梯電梯前","於1樓大廳電梯前","24.979912","121.325394","08:00:00","17:00:00","","","","","例假日除外","03-3648800"
"10361","一滴水紀念館旅客服務中心","新北市","淡水區","新北市淡水區中正路一段6巷30號","觀光旅遊地區","文化園區","","625","一滴水紀念館旅客服務中心","一滴水遊課服務中心1樓","25.178206","121.430772","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","開放時間為週二至週日上午9時至下午5時，週日及週一休館。","02-26263350"
"784","宜蘭縣立體育場羅東遊客管理中心","宜蘭縣","羅東鎮","宜蘭縣羅東鎮公正路666號","其他","其他場所","","646","羅東運動公園遊客中心","羅東運動公園游泳池遊客中心","24.681747","121.751894","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","03-541216"
