﻿﻿消防栓編號,單位名稱,種類,區鄉鎮市名稱,消防栓位置,經度,緯度,水公司單位名稱
1124,豐原分隊,地下,豐原區,（三豐路1020號）前（加油站旁檳榔攤前）,120.7223962,24.27757054,豐原給水廠
653,豐原分隊,地下,豐原區,一心路124號旁,120.7040506,24.24640145,豐原給水廠
654,豐原分隊,地上,豐原區,"一心路134 號對面（八方夜市轉角）",120.7033546,24.24639106,豐原給水廠
789,豐原分隊,地下,豐原區,一心路183號前,120.7020463,24.24677196,豐原給水廠
787,豐原分隊,地下,豐原區,一心路185巷20號前（對面11弄口）,120.7019459,24.2460357,豐原給水廠
788,豐原分隊,地下,豐原區,一心路185巷5弄口（對面8號）,120.702053,24.24636477,豐原給水廠
790,豐原分隊,地下,豐原區,"一心路208,210號前中間",120.7013677,24.24668392,豐原給水廠
791,豐原分隊,地下,豐原區,一心路216巷11號前（一心臭豆腐前）（18號對面）,120.7009703,24.2471055,豐原給水廠
793,豐原分隊,地下,豐原區,一心路229巷口,120.7009258,24.24624677,豐原給水廠
792,豐原分隊,地下,豐原區,一心路232巷24號前,120.7001165,24.24676584,豐原給水廠
651,豐原分隊,地下,豐原區,一心路28號前,120.706079,24.24772452,豐原給水廠
862,豐原分隊,地上,豐原區,"三民路145,147號前中間",120.7185084,24.2533315,豐原給水廠
868,豐原分隊,地下,豐原區,三民路150巷與信義街192巷口（豐原國小西門前）,120.7191849,24.25443623,豐原給水廠
869,豐原分隊,地上,豐原區,"三民路210,212號前中間",120.717579,24.2532508,豐原給水廠
866,豐原分隊,地上,豐原區,"三民路53,55號中間（憶品鍋前）",120.7209968,24.25368548,豐原給水廠
887,豐原分隊,地下,豐原區,三民路78號（萊爾富旁小路）與新生北路交界,120.7209108,24.25398946,豐原給水廠
865,豐原分隊,地上,豐原區,三民路郵局對面（7-11前）,120.719934,24.25351735,豐原給水廠
863,豐原分隊,地下,豐原區,三民路與信義街交叉口,120.7187679,24.25338713,豐原給水廠
1146,豐原分隊,地下,豐原區,三環路31-1號前帝一食補右側20m（人行道上）三環路65號,120.7208392,24.26184268,豐原給水廠
1090,豐原分隊,地下,豐原區,三環路59號（阿三哥麵店）前人行道上,120.7213823,24.26126742,豐原給水廠
1091,豐原分隊,地上,豐原區,"三環路與三豐路一段412巷（ 三豐路486巷 ）口對面",120.720339,24.26225471,豐原給水廠
1148,豐原分隊,地上,豐原區,三環路與三豐路一段412巷（三豐路486巷）口（信安汽車前）,120.7204577,24.2625133,豐原給水廠
1089,豐原分隊,地下,豐原區,三豐路456號前（憲兵隊前）,120.7199326,24.26171002,豐原給水廠
1028,豐原分隊,地下,豐原區,三豐路566巷（三豐路二段20巷）59號前,120.7219939,24.26502398,豐原給水廠
861,豐原分隊,地下,豐原區,"三豐路99號前（源豐路99號）,美寶堡早餐",120.7166006,24.25314625,豐原給水廠
884,豐原分隊,地下,豐原區,三豐路一段103巷12號（豐中路73巷12號）前（14弄口）,120.721847,24.25647144,豐原給水廠
1009,豐原分隊,地下,豐原區,三豐路一段142巷31號（豐中路80巷31號）前,120.7226061,24.25784515,豐原給水廠
890,豐原分隊,地下,豐原區,三豐路一段160號前（豐中路96號，APPLE203）,120.7219195,24.25725886,豐原給水廠
877,豐原分隊,地下,豐原區,三豐路一段161號（豐中路131號）旁（大勇街上）,120.7212818,24.25800471,豐原給水廠
876,豐原分隊,地下,豐原區,三豐路一段205號（豐中路175號）邊（路易莎咖啡）,120.7206219,24.25885875,豐原給水廠
892,豐原分隊,地下,豐原區,三豐路一段218號前（豐中路144號，永和豆漿旁）,120.7212744,24.25806523,豐原給水廠
888,豐原分隊,地上,豐原區,三豐路一段33號（豐中路3號，早安美芝城對面）,120.72258,24.25468139,豐原給水廠
1080,豐原分隊,地下,豐原區,三豐路一段375巷51號（三豐路539巷51號）前,120.7186284,24.26209271,豐原給水廠
886,豐原分隊,地下,豐原區,三豐路一段61巷38號（豐中路31巷30-1號）前,120.721719,24.25563022,豐原給水廠
885,豐原分隊,地下,豐原區,"三豐路一段71,73號（豐中路41,43號）前中間",120.7225511,24.25613398,豐原給水廠
1138,豐原分隊,地下,豐原區,三豐路二段135（三豐路799巷）巷口[797號（二段133號）前斑馬線上],120.7206883,24.26735062,豐原給水廠
1040,豐原分隊,地下,豐原區,三豐路二段135巷（三豐路799巷）與豐原大道七段162巷口,120.7159743,24.26887641,豐原給水廠
17575,豐原分隊,地下,豐原區,三豐路二段135巷101弄33號[三豐路799巷105弄33號前（巷底）],120.7182287,24.26735245,豐原給水廠
1142,豐原分隊,地下,豐原區,三豐路二段135巷137號（三豐路799巷137號）前,120.7171036,24.26865023,豐原給水廠
1139,豐原分隊,地下,豐原區,三豐路二段135巷46號（三豐路799巷38號）前,120.7195692,24.26778219,豐原給水廠
1140,豐原分隊,地下,豐原區,三豐路二段135巷與慈龍街口,120.7187873,24.26814775,豐原給水廠
1025,豐原分隊,地下,豐原區,"三豐路二段138巷41弄35,30號邊中間（三豐路662巷41弄7,8號）",120.7221937,24.26671058,豐原給水廠
18169,豐原分隊,地下,豐原區,三豐路二段138巷41弄口（三豐路662巷41弄口）,120.7221176,24.26624251,豐原給水廠
1109,豐原分隊,地下,豐原區,"三豐路二段146,148號中間（三豐路668,670號有巢氏房屋前）",120.7206582,24.26698383,豐原給水廠
1137,豐原分隊,地下,豐原區,三豐路二段173巷（三豐路833巷）9弄口,120.7202927,24.26838921,豐原給水廠
1151,豐原分隊,地下,豐原區,三豐路二段17巷15弄（三豐路675巷5弄）口,120.7195678,24.26468165,豐原給水廠
1152,豐原分隊,地下,豐原區,三豐路二段17巷52弄31號（三豐路675巷16弄25號）右前方,120.7184353,24.26519576,豐原給水廠
1030,豐原分隊,地下,豐原區,三豐路二段20巷（三豐路566巷）口,120.7203329,24.26471038,豐原給水廠
1024,豐原分隊,地下,豐原區,三豐路二段20巷115號前（三豐路566巷115號）,120.7236964,24.26611823,豐原給水廠
1023,豐原分隊,地下,豐原區,三豐路二段20巷130號前（三豐路566巷130號）,120.7243609,24.26648318,豐原給水廠
1022,豐原分隊,地下,豐原區,三豐路二段20巷176號前（三豐路566巷146號）,120.7255029,24.26661522,豐原給水廠
1021,豐原分隊,地下,豐原區,三豐路二段20巷183號前（三豐路566巷165號）,120.7263364,24.2670089,豐原給水廠
1020,豐原分隊,地下,豐原區,三豐路二段20巷200號旁（三豐路566巷166號）,120.7272182,24.26746615,豐原給水廠
1029,豐原分隊,地下,豐原區,三豐路二段20巷32號（三豐路566巷30號）前,120.7214689,24.26478252,豐原給水廠
1027,豐原分隊,地下,豐原區,三豐路二段20巷83號（三豐路566巷83號）旁,120.7227436,24.26531741,豐原給水廠
1136,豐原分隊,地下,豐原區,三豐路二段211號（三豐路859號，Q-me髮廊）,120.7209988,24.26916066,豐原給水廠
1135,豐原分隊,地下,豐原區,三豐路二段229巷21號前,120.7203289,24.26971021,豐原給水廠
1133,豐原分隊,地下,豐原區,三豐路二段229巷96號旁,120.7191648,24.26997123,豐原給水廠
1134,豐原分隊,地下,豐原區,三豐路二段229巷96號對面,120.7191689,24.26992722,豐原給水廠
1117,豐原分隊,地下,豐原區,三豐路二段229巷對面斑馬線上（有家客家麵食館對面）,120.721143,24.26960935,豐原給水廠
1111,豐原分隊,地下,豐原區,三豐路二段272巷111弄口（92弄口）（三豐路742巷111弄）,120.7247593,24.2697909,豐原給水廠
1113,豐原分隊,地下,豐原區,三豐路二段272巷148弄27號（三豐路742巷146弄9號）（北天宮前）,120.7265369,24.2698233,豐原給水廠
1112,豐原分隊,地下,豐原區,三豐路二段272巷165號（三豐路742巷165號）前,120.7262063,24.27033495,豐原給水廠
1110,豐原分隊,地下,豐原區,三豐路二段272巷18號（三豐路742巷16號）前（健康家電）,120.7221548,24.2689027,豐原給水廠
1114,豐原分隊,地下,豐原區,三豐路二段272巷191弄（三豐路742巷189弄）口前10m,120.7271518,24.27082948,豐原給水廠
1115,豐原分隊,地下,豐原區,三豐路二段272巷191弄320號（三豐路742巷189弄38-5號）前,120.7269057,24.27282225,豐原給水廠
1116,豐原分隊,地下,豐原區,三豐路二段272巷273號（三豐路742巷257號）前,120.7297066,24.27288705,豐原給水廠
1132,豐原分隊,地下,豐原區,三豐路二段279巷21弄（三豐路903巷11弄）口,120.7208305,24.27060942,豐原給水廠
1131,豐原分隊,地下,豐原區,三豐路二段289號（三豐路909號）7-11前,120.7215419,24.27112779,豐原給水廠
1129,豐原分隊,地下,豐原區,三豐路二段345號（三豐路925號，中油台大豐原站）,120.721782,24.27240964,豐原給水廠
1118,豐原分隊,地下,豐原區,三豐路二段362號（三豐路846號中威密封元件前）,120.7217592,24.27182587,豐原給水廠
1128,豐原分隊,地下,豐原區,三豐路二段375巷130號旁,120.7196362,24.27252456,豐原給水廠
1119,豐原分隊,地下,豐原區,三豐路二段396巷22弄（三豐路884巷20弄）對面,120.7232498,24.2735625,豐原給水廠
1120,豐原分隊,地下,豐原區,三豐路二段396巷22弄13號（三豐路884巷20弄13號）右側15公尺,120.7247908,24.27353988,豐原給水廠
20530,豐原分隊,地下,豐原區,三豐路二段396巷69號,120.7257,24.2755,豐原給水廠
1121,豐原分隊,地下,豐原區,三豐路二段408號（三豐路892號）前（檳榔攤前）,120.7219496,24.27325931,豐原給水廠
1147,豐原分隊,地下,豐原區,三豐路二段412巷30弄（三豐路486巷20弄）口[對面三豐路二段412巷27號（對面17號）],120.7211544,24.26277862,豐原給水廠
1127,豐原分隊,地下,豐原區,三豐路二段441巷口（三豐路937號）前,120.7219074,24.27444762,豐原給水廠
1122,豐原分隊,地下,豐原區,"三豐路二段510,512號（三豐路954,956號）中間（鸚鵡寵物館）",120.7221126,24.27522576,豐原給水廠
1123,豐原分隊,地下,豐原區,三豐路二段532號（三豐路980號）（騰輪汽車）驗車場前,120.722191,24.27607419,豐原給水廠
21092,豐原分隊,地下,豐原區,三豐路二段549巷178弄口（川億興業旁）特定工廠,120.71888,24.2761,豐原給水廠
1032,豐原分隊,地下,豐原區,三豐路二段549巷199號（三豐路967巷119號）左側,120.7176185,24.27504055,豐原給水廠
1034,豐原分隊,地下,豐原區,三豐路二段549巷331弄（三豐路967巷181弄）與豐原大道七段162巷尾,120.7147982,24.27277518,豐原給水廠
1033,豐原分隊,地下,豐原區,三豐路二段549巷510弄127號（三豐路967巷202弄16之2號）前,120.7139298,24.27603201,豐原給水廠
21315,豐原分隊,地下,豐原區,三豐路二段549巷510弄口自強橋前,120.714,24.2739,豐原給水廠
1149,豐原分隊,地下,豐原區,三豐路二段57巷（三豐路721巷）口（金吉星檳榔旁）,120.7204094,24.26559067,豐原給水廠
1150,豐原分隊,地下,豐原區,三豐路二段57巷22號（三豐路721巷14號）前,120.7198314,24.26555644,豐原給水廠
1143,豐原分隊,地下,豐原區,三豐路二段89巷38號右前方,120.7195611,24.26628206,豐原給水廠
1145,豐原分隊,地下,豐原區,三豐路二段89巷93弄1號（三豐路747巷31弄1號）前,120.7181443,24.2661384,豐原給水廠
1144,豐原分隊,地下,豐原區,三豐路二段89巷96弄（三豐路747巷44弄）口,120.7188819,24.26622704,豐原給水廠
1126,豐原分隊,地下,豐原區,三豐路口轉角與國豐路上（國道4號橋下）對面-往神岡方向斑馬線上,120.7224499,24.2780082,豐原給水廠
1125,豐原分隊,地下,豐原區,三豐路口轉角與國豐路上（國道4號橋下往豐原車道上）,120.7224344,24.27772702,豐原給水廠
18190,豐原分隊,地下,豐原區,三豐路消防隊側門對面網狀格內,120.720167,24.25950464,豐原給水廠
1088,豐原分隊,地下,豐原區,三豐路豐原國中大門對面,120.7196778,24.26084682,豐原給水廠
883,豐原分隊,地下,豐原區,大仁街20號前,120.720974,24.25691223,豐原給水廠
942,豐原分隊,地下,豐原區,大昌街55號前（圓環北路一段172巷10號前）,120.7169031,24.25609607,豐原給水廠
608,豐原分隊,地下,豐原區,大社街46號前（好成精緻搬家）,120.7012866,24.25043541,豐原給水廠
1927,豐原分隊,地下,豐原區,大社街77號,120.7012886,24.25143502,豐原給水廠
879,豐原分隊,地下,豐原區,大勇街24號（對面29號）,120.7203148,24.25745022,豐原給水廠
878,豐原分隊,地下,豐原區,大勇街47巷口（45號前）,120.7207078,24.25770209,豐原給水廠
880,豐原分隊,地下,豐原區,大勇街頭與大湳街13號前,120.7196859,24.25709686,豐原給水廠
1011,豐原分隊,地下,豐原區,大順街81巷口（82號對面）,120.7227972,24.25939551,豐原給水廠
1007,豐原分隊,地下,豐原區,大順街8巷115號前,120.7240015,24.25906172,豐原給水廠
1006,豐原分隊,地下,豐原區,大順街8巷159號前,120.7249504,24.25913875,豐原給水廠
1010,豐原分隊,地下,豐原區,大順街8巷33號前,120.722407,24.25847055,豐原給水廠
1008,豐原分隊,地下,豐原區,"大順街8巷66號旁與三豐路一段142巷71弄（ 豐中路80巷71弄 ）口",120.723048,24.25874321,豐原給水廠
891,豐原分隊,地下,豐原區,大順街與三豐路一段210號（豐中路138號）旁,120.7213529,24.25805975,豐原給水廠
881,豐原分隊,地下,豐原區,大湳街20巷口,120.7197703,24.25692384,豐原給水廠
882,豐原分隊,地下,豐原區,大湳街41號前與大仁街口,120.7201304,24.25644026,豐原給水廠
612,豐原分隊,地下,豐原區,大豐路五段110巷口,120.6966966,24.24131388,豐原給水廠
613,豐原分隊,地下,豐原區,大豐路五段168號,120.6968421,24.24250004,豐原給水廠
614,豐原分隊,地下,豐原區,大豐路五段226號前（宥澄企業社）,120.6972237,24.24341839,豐原給水廠
615,豐原分隊,地下,豐原區,大豐路五段230巷51號屋後（左側馬路進去T字路口）,120.6986164,24.24321723,豐原給水廠
616,豐原分隊,地下,豐原區,大豐路五段450號旁（全家便利商店豐原社皮店前）,120.6989497,24.24657998,豐原給水廠
617,豐原分隊,地下,豐原區,大豐路五段550號前（素食便當）,120.6991898,24.24825398,豐原給水廠
559,豐原分隊,地下,豐原區,中山路495號前,120.7138956,24.25350574,豐原給水廠
564,豐原分隊,地下,豐原區,中山路552號對面（富春國小地下停車場入口）,120.7141276,24.25271096,豐原給水廠
565,豐原分隊,地下,豐原區,中山路與豐西街口（斑馬線旁）,120.7143013,24.25172603,豐原給水廠
526,豐原分隊,地上,豐原區,中正路113號前博愛路角,120.7208694,24.25176088,豐原給水廠
525,豐原分隊,地下,豐原區,中正路129巷7弄口,120.7202866,24.25099,豐原給水廠
531,豐原分隊,地下,豐原區,中正路134號前（中新診所）,120.7201284,24.25174376,豐原給水廠
524,豐原分隊,地下,豐原區,中正路137號（豐原戲院）前,120.7199494,24.2516918,豐原給水廠
