Seq,單位名稱,種類,區鄉鎮市名稱,消防栓位置,經度,緯度
1,新興分隊,地上,新興區,七賢一路、仁愛ㄧ街口(西南角),120.307601554235,22.6341469694546
2,新興分隊,地上,新興區,七賢一路、民族二路口(西南),120.313266293818,22.6337392592218
3,新興分隊,地上,新興區,七賢一路、和平一路口(西南),120.31667278621,22.633575034428
4,新興分隊,地上,新興區,七賢一路、尚仁街口(東北),120.315180748264,22.6337662378746
5,新興分隊,地上,新興區,七賢一路、忠孝一路(西南角),120.306216958086,22.6342378409437
6,新興分隊,地上,新興區,七賢一路、南華路(東南角),120.303310366539,22.6344080519817
7,新興分隊,地上,新興區,七賢一路、復興一路口(西北),120.308404227019,22.6340962920676
8,新興分隊,地上,新興區,七賢一路457號前,120.304828438904,22.6343276171898
9,新興分隊,地上,新興區,七賢一路98號前,120.314473563326,22.6338190309567
10,新興分隊,地上,新興區,七賢一路與洛陽街(東南),120.309281634359,22.6340237109245
11,新興分隊,地上,新興區,七賢一路與復興一路口(東南),120.308433385758,22.6340874583884
12,新興分隊,地上,新興區,七賢一路與錦田路口(西北),120.310478072338,22.6339429839982
13,新興分隊,地上,新興區,七賢一路與錦田路口(西南),120.310525508789,22.6339339692993
14,新興分隊,地上,新興區,七賢二路、中山一路口（西南）,120.302038136906,22.6345143431058
15,新興分隊,地上,新興區,七賢二路、民主橫路口(東南),120.301347129796,22.6345676775125
16,新興分隊,地上,新興區,七賢二路、同愛街口(西),120.300475104994,22.6348013690467
17,新興分隊,地上,新興區,七賢二路、南台路口(西南),120.29912970172,22.6341824661569
18,新興分隊,地上,新興區,八德一路、忠孝一路(西南角),120.306462411629,22.6356737298919
19,新興分隊,地上,新興區,八德一路、復興一路口(西南),120.308523553902,22.6355257028282
20,新興分隊,地上,新興區,八德一路與錦田路(西南),120.310694074737,22.6353867410707
21,新興分隊,地上,新興區,大同一路、自立二路口,120.299956952259,22.6286181887623
22,新興分隊,地上,新興區,大同一路、新盛二街口,120.297532040271,22.6277672287553
23,新興分隊,地上,新興區,大同一路、瑞源路口,120.298678684625,22.6281806772043
24,新興分隊,地上,新興區,中山一路146號,120.302297557043,22.631932592236
25,新興分隊,地上,新興區,中山一路14號前,120.301538036625,22.6263383594944
26,新興分隊,地上,新興區,中山一路61號前,120.301643781003,22.629738997465
27,新興分隊,地上,新興區,中山一路新興分局前,120.301948383186,22.630736928908
28,新興分隊,地上,新興區,中山橫路、中山一路口,120.301587970167,22.631947756088
29,新興分隊,地上,新興區,中正二路、和平一路口(西北),120.317709967428,22.6303523723724
30,新興分隊,地上,新興區,中正三路、林森一路口(西南),120.304709782574,22.6311304449674
31,新興分隊,地上,新興區,中正三路、復興一路口(東南)--國泰世華銀行旁,120.308173425235,22.6308758790371
32,新興分隊,地上,新興區,中正三路、錦田路口(南),120.310275606551,22.630721457977
33,新興分隊,地上,新興區,中正三路10號前（上）,120.312389174025,22.6307427941352
34,新興分隊,地上,新興區,中正三路3號,120.311137547784,22.6306631296978
35,新興分隊,地上,新興區,中正三路與錦田路口(西北)--新興區公所旁,120.310296393671,22.6308922804626
36,新興分隊,地上,新興區,中正三路與錦田路捷運o6站出口,120.310504935421,22.6308730938892
37,新興分隊,地上,新興區,中正四路、南台路口,120.300396457143,22.6309360189351
38,新興分隊,地上,新興區,五福一路、民權一路口(東北),120.31112732917,22.6265365793685
