Seq,單位名稱,種類,區鄉鎮市名稱,消防栓位置,經度,緯度
1,新興分隊,地下,新興區,七賢一路、中山一路（東北角）,120.302384333877,22.6346580897089
2,新興分隊,地下,新興區,七賢一路、六合一路96巷,120.307912088792,22.6341233087161
3,新興分隊,地下,新興區,七賢一路、民族二路口(東南),120.313742623925,22.6337068226248
4,新興分隊,地下,新興區,七賢一路、尚仁街口(南),120.315137748348,22.6336240350651
5,新興分隊,地下,新興區,七賢一路、忠孝一路(東南角),120.306355461557,22.6342299412359
6,新興分隊,地下,新興區,七賢一路、林森一路(東北角),120.305017619212,22.6344730600677
7,新興分隊,地下,新興區,七賢一路、南華路北側,120.30324197021,22.6345912479848
8,新興分隊,地下,新興區,七賢一路、開封路口(西南),120.311887933201,22.6338323489901
9,新興分隊,地下,新興區,七賢一路、開封路口(東北),120.31193381589,22.634276539965
10,新興分隊,地下,新興區,七賢一路480號前,120.304193087631,22.6345222455947
11,新興分隊,地下,新興區,七賢一路528巷口,120.302804761954,22.6346262648605
12,新興分隊,地下,新興區,七賢一路與洛陽街口(西北),120.309276621527,22.634193133606
13,新興分隊,地下,新興區,七賢一路與錦田路口(東北),120.310595403273,22.6341129272902
14,新興分隊,地下,新興區,七賢二路、自立一路口(東北),120.297897606068,22.6339445566022
15,新興分隊,地下,新興區,八德一路、中山一路(東北角),120.302476516906,22.6359605769253
16,新興分隊,地下,新興區,八德一路、忠孝一路(東北角),120.306477401786,22.635678899222
17,新興分隊,地下,新興區,八德一路、林森一路(東南角),120.305115350697,22.6357675119189
18,新興分隊,地下,新興區,八德一路、南華路口,120.303346893731,22.6358912602382
19,新興分隊,地下,新興區,八德一路、開封路口(西南),120.312001441385,22.6353086500645
20,新興分隊,地下,新興區,八德一路、開封路口(東北側25公尺),120.312263025628,22.6352935780386
21,新興分隊,地下,新興區,八德一路148號,120.309860725694,22.6354416050377
22,新興分隊,地下,新興區,八德一路169巷2號,120.308899617725,22.6349703655123
23,新興分隊,地下,新興區,八德一路170巷18號,120.309010073993,22.6363752731564
24,新興分隊,地下,新興區,八德一路206號,120.307922416502,22.6355766352415
25,新興分隊,地下,新興區,八德一路304號前,120.305482935349,22.6357457034417
26,新興分隊,地下,新興區,八德一路384巷前,120.302925227596,22.6359428013745
27,新興分隊,地下,新興區,八德一路395號旁(巷口),120.302923299674,22.6359236663967
28,新興分隊,地下,新興區,八德一路74號前(停車格081072前),120.311088697751,22.6353707224149
29,新興分隊,地下,新興區,八德一路與復興一路口(東南),120.308535153853,22.6355253749351
30,新興分隊,地下,新興區,八德一路與錦田路(東南),120.310699154019,22.6353874328335
31,新興分隊,地下,新興區,八德二路、中山路口(西南),120.302229244298,22.6359726957979
32,新興分隊,地下,新興區,八德二路、民主橫路前(西),120.301395124422,22.6360167829274
33,新興分隊,地下,新興區,八德二路、同愛街口,120.300605276704,22.6360823134971
34,新興分隊,地下,新興區,八德二路、南台路口(西南),120.29852078712,22.635788699876
35,新興分隊,地下,新興區,八德二路14號前,120.301242191381,22.6360451069358
36,新興分隊,地下,新興區,八德二路43號前,120.299333718751,22.6360622181487
37,新興分隊,地下,新興區,八德二路89號前,120.297914755291,22.6355954204032
38,新興分隊,地下,新興區,大同一路、中山一路口(東北),120.301780945685,22.6290897713133
39,新興分隊,地下,新興區,大同一路、仁愛一街,120.307152500497,22.6286767920427
40,新興分隊,地下,新興區,大同一路、忠孝一路口(東北),120.305893012484,22.6287715143434
41,新興分隊,地下,新興區,大同一路、林森一路(東北),120.304514467014,22.6288690090055
42,新興分隊,地下,新興區,大同一路、南台路口,120.301153371418,22.6290100090957
43,新興分隊,地下,新興區,大同一路、南華路,120.302775866402,22.628997127616
44,新興分隊,地下,新興區,大同一路101號前,120.304030945685,22.6288991884264
45,新興分隊,地下,新興區,大同一路183巷內（中山一路21號後門）,120.30080404107,22.6284542227652
46,新興分隊,地下,新興區,大同一路4號前,120.307601823662,22.6286237864315
47,新興分隊,地下,新興區,中山一路101號前,120.301672527613,22.6307414563204
48,新興分隊,地下,新興區,中山一路116號前,120.30261506994,22.6315383190551
49,新興分隊,地下,新興區,中山一路170號前,120.302197417162,22.6323480306854
50,新興分隊,地下,新興區,中山一路89號前,120.301638809856,22.6306095467962
51,新興分隊,地下,新興區,中山橫路、南台路口,120.300150135002,22.6316241945671
52,新興分隊,地下,新興區,中山橫路21號旁,120.300833760101,22.6318046622743
53,新興分隊,地下,新興區,中山橫路42號前,120.300315519014,22.6316806866441
54,新興分隊,地下,新興區,中山橫路65號前,120.299339918403,22.6313603703329
55,新興分隊,地下,新興區,中山橫路70號前,120.299213402447,22.6313252080256
56,新興分隊,地下,新興區,中正二路、尚信街口,120.316873566468,22.6304257291685
57,新興分隊,地下,新興區,中正二路、尚義街口,120.315263981317,22.6305536987861
58,新興分隊,地下,新興區,中正三路、仁愛一街(西南側),120.3073430062,22.6309289714079
59,新興分隊,地下,新興區,中正三路、忠孝一路(西南),120.306085160136,22.6310332007393
60,新興分隊,地下,新興區,中正三路、林森一路口(東南),120.304726330108,22.6312308134771
61,新興分隊,地下,新興區,中正三路、南華路口,120.302996091284,22.6313818466254
62,新興分隊,地下,新興區,中正三路、復興一路口（西南）,120.30818056341,22.6310156203904
63,新興分隊,地下,新興區,中正三路、開封路口（西北）,120.31165757978,22.6307902299439
64,新興分隊,地下,新興區,中正三路、開封路口(東北),120.311588967178,22.6307961689424
65,新興分隊,地下,新興區,中正三路、開封路口(東南),120.311606116401,22.6306339666218
66,新興分隊,地下,新興區,中正三路、達仁街口（南）,120.30899887506,22.6308037746359
67,新興分隊,地下,新興區,中正三路100號前,120.306570407987,22.6311251253531
68,新興分隊,地下,新興區,中正三路10號前（下）,120.312446070684,22.6307377690165
69,新興分隊,地下,新興區,中正三路154號,120.304716086971,22.6312398764304
70,新興分隊,地下,新興區,中正三路187號前,120.302622325646,22.631271367747
71,新興分隊,地下,新興區,中正三路34號,120.309967089567,22.630912753436
72,新興分隊,地下,新興區,中正三路60號,120.30894371412,22.630977977959
73,新興分隊,地下,新興區,中正三路80巷口,120.307656138394,22.6310547156682
74,新興分隊,地下,新興區,中正四路、中山一路口(陽信銀行右前方),120.301158992304,22.6311741163173
75,新興分隊,地下,新興區,中正四路、南台路口（南）,120.30045558299,22.6308343286015
76,新興分隊,地下,新興區,中東街、民族二路口(西北),120.313244250166,22.6329835420034
77,新興分隊,地下,新興區,中東街、民族二路口(東南),120.31370267272,22.6329626576148
78,新興分隊,地下,新興區,中東街110號前,120.315582662781,22.6328387569535
79,新興分隊,地下,新興區,中東街191號前,120.313048179481,22.632997996735
80,新興分隊,地下,新興區,中東街228號前,120.311867230654,22.6330818025426
81,新興分隊,地下,新興區,中東街254號前,120.311277777778,22.6331301508882
82,新興分隊,地下,新興區,中東街278號,120.310317728836,22.6332036275077
83,新興分隊,地下,新興區,中東街314號,120.309418728836,22.6332644441665
84,新興分隊,地下,新興區,中東街62號前,120.316631428242,22.632767036334
85,新興分隊,地下,新興區,五福一街36號前,120.308721090195,22.6269635890179
86,新興分隊,地下,新興區,五福一街39號前,120.308722723296,22.6269491640166
87,新興分隊,地下,新興區,五福一街8巷口,120.308840182227,22.6261906080431
88,新興分隊,地下,新興區,五福二路、中山路口(東南),120.301050639116,22.6230519199778
89,新興分隊,地下,新興區,五福二路、民權一路口(西南),120.310746211682,22.6263093548265
90,新興分隊,地下,新興區,五福二路、復興一路口（西南）（下）,120.308274945146,22.6254809934774
91,新興分隊,地下,新興區,五福二路258號前,120.302175299274,22.6235454267546
92,新興分隊,地下,新興區,五福二路80巷3弄及2弄前,120.308357105522,22.6265107768811
93,新興分隊,地下,新興區,仁愛一街134號,120.307392743057,22.6314925299543
94,新興分隊,地下,新興區,仁愛一街179號對面,120.307457770917,22.632490968412
95,新興分隊,地下,新興區,仁愛一街25號前,120.307125393271,22.6283305607833
96,新興分隊,地下,新興區,仁愛一街291巷口,120.307636761241,22.6345905413721
97,新興分隊,地下,新興區,仁愛一街327號前,120.307738930762,22.6363719926086
98,新興分隊,地下,新興區,仁愛一街42號前,120.307156138394,22.6286567637594
99,新興分隊,地下,新興區,仁愛一街覺元寺前,120.307109870289,22.6281351752846
100,新興分隊,地下,新興區,仁愛二街138號前,120.307619978713,22.6250317260579
101,新興分隊,地下,新興區,六合一路、中山一路(東北角),120.302242821257,22.6329904154328
102,新興分隊,地下,新興區,六合一路、仁愛一街口(西北),120.307455658979,22.6326257450237
103,新興分隊,地下,新興區,六合一路、民族二路口(西北),120.31318544213,22.6322643084815
104,新興分隊,地下,新興區,六合一路、民族二路口(西南),120.313185172703,22.6322585913985
105,新興分隊,地下,新興區,六合一路、尚信街口,120.316958811177,22.6319851459992
106,新興分隊,地下,新興區,六合一路、忠孝一路(西北角),120.306219170306,22.6327052182993
107,新興分隊,地下,新興區,六合一路、林森一路(西南角),120.304861496528,22.6327888449024
108,新興分隊,地下,新興區,六合一路、林森一路(東北角),120.304869543155,22.632804097827
109,新興分隊,地下,新興區,六合一路、南華路北側,120.303122585814,22.6329303809349
110,新興分隊,地下,新興區,六合一路、復興一路口(西南),120.308298850033,22.6325658570416
111,新興分隊,地下,新興區,六合一路、開封街口(西北),120.311751055969,22.6323525931102
112,新興分隊,地下,新興區,六合一路159之5號前,120.303163175429,22.6329186393024
113,新興分隊,地下,新興區,六合一路27號前,120.312154881861,22.6323225915854
114,新興分隊,地下,新興區,六合一路43號前,120.31075,22.6324111698243
115,新興分隊,地下,新興區,六合一路49-2號,120.309695530671,22.6324789721101
116,新興分隊,地下,新興區,六合一路55巷口,120.308754011657,22.632438261673
117,新興分隊,地下,新興區,六合一路81號前,120.306903926174,22.6326559984702
118,新興分隊,地下,新興區,六合一路96巷2號前,120.307799906002,22.6328574303425
119,新興分隊,地下,新興區,六合一路與復興一路口(東北),120.308309307497,22.6325837895069
120,新興分隊,地下,新興區,六合二路、民主橫路口(西北),120.301455352935,22.6328156672168
121,新興分隊,地下,新興區,六合二路14號前,120.301462308616,22.6328204496096
122,新興分隊,地下,新興區,六合二路1號前,120.301832069364,22.6329519088464
123,新興分隊,地下,新興區,六合二路62號前,120.300517969416,22.6324993727
124,新興分隊,地下,新興區,六合路、尚義街口(東北),120.315400003141,22.6321012819049
125,新興分隊,地下,新興區,六合路183號前,120.314101,22.632089
126,新興分隊,地下,新興區,文化路、仁智街口(東北),120.302179526163,22.6226384881734
127,新興分隊,地下,新興區,文化路、忠孝一路口(東南),120.306582327505,22.6240314824136
128,新興分隊,地下,新興區,文化路、林森一路口(東南),120.305313702464,22.6236292863313
129,新興分隊,地下,新興區,文化路58號前,120.30431019928,22.6233368128212
130,新興分隊,地下,新興區,文化路72號前,120.302791658812,22.6228344797383
131,新興分隊,地下,新興區,文橫一路17號前,120.303122795635,22.6245380749982
132,新興分隊,地下,新興區,文橫一路86號前,120.302738700893,22.6266447055727
133,新興分隊,地下,新興區,文橫二路121巷口、文橫二路口(西側),120.304301817377,22.6212231438575
134,新興分隊,地下,新興區,文橫二路143巷、仁智街巷口(東側),120.302297073371,22.6222886850305
135,新興分隊,地下,新興區,文橫二路143巷24號前,120.302953011202,22.6224924892244
136,新興分隊,地下,新興區,文橫二路149號前,120.303708776746,22.6229658737852
137,新興分隊,地下,新興區,文橫二路167巷20號前,120.302874221312,22.6233584677722
138,新興分隊,地下,新興區,民主路、民主橫路口,120.301156740082,22.6335089574578
139,新興分隊,地下,新興區,民主路、自立二路口,120.298428066055,22.6325831132957
140,新興分隊,地下,新興區,民主路、南台路口,120.2996170458,22.6329735333251
141,新興分隊,地下,新興區,民主橫路9巷、南台路口,120.299742523644,22.6326884753296
142,新興分隊,地下,新興區,民生一路、五福一街口,120.308715086052,22.6273075586665
143,新興分隊,地下,新興區,民生一路、仁愛二街口(忠孝公園旁),120.307061205109,22.6272336843293
144,新興分隊,地下,新興區,民生一路、民權一路口(西南),120.310370679567,22.6274579604709
145,新興分隊,地下,新興區,民生一路、忠孝一路口,120.305762740493,22.6272308129187
